customer_city,customer_state,orders,total_revenue,pct_of_total_revenue,cumulative_pct_revenue,revenue_rank
felisburgo,MG,1,99.9,0.0,99.68,3504
frei rogerio,SC,1,99.9,0.0,99.68,3504
nova timboteua,PA,1,99.9,0.0,99.68,3504
nova ubirata,MT,1,99.9,0.0,99.68,3504
novais,SP,1,99.9,0.0,99.68,3504
olhos d'agua,MG,1,99.9,0.0,99.68,3504
orobo,PE,1,99.9,0.0,99.68,3504
sao pedro do butia,RS,1,99.9,0.0,99.68,3504
sao vitor,MG,1,99.9,0.0,99.68,3504
umburanas,BA,1,99.9,0.0,99.68,3504
rodolfo fernandes,RN,2,99.89,0.0,99.68,3518
getulina,SP,2,99.80000000000001,0.0,99.68,3519
zortea,SC,2,99.80000000000001,0.0,99.68,3519
alexandrita,MG,1,99.8,0.0,99.68,3521
vila flor,RN,1,99.73,0.0,99.68,3522
pilar,AL,3,99.7,0.0,99.68,3523
pindorama do tocantins,TO,2,99.66,0.0,99.68,3524
anguera,BA,1,99.0,0.0,99.69,3525
barra do rio azul,RS,1,99.0,0.0,99.69,3525
conceicao do almeida,BA,1,99.0,0.0,99.69,3525
formosa da serra negra,MA,1,99.0,0.0,99.69,3525
palhano,CE,1,99.0,0.0,99.69,3525
paulistania,SP,1,99.0,0.0,99.69,3525
sobradinho,DF,1,99.0,0.0,99.69,3525
varzea,PB,1,98.99,0.0,99.69,3532
varzelandia,MG,2,98.89,0.0,99.69,3533
sao felix do araguaia,MT,1,98.8,0.0,99.69,3534
gentio do ouro,BA,1,98.7,0.0,99.69,3535
sao pedro do sul,RS,1,98.7,0.0,99.69,3535
barracao,RS,2,98.49,0.0,99.69,3537
governador mangabeira,BA,1,98.0,0.0,99.7,3538
jaguaribara,CE,1,98.0,0.0,99.7,3538
lago verde,MA,1,98.0,0.0,99.7,3538
monte alegre,PA,1,98.0,0.0,99.7,3538
vermelho,MG,1,98.0,0.0,99.7,3538
aramina,SP,1,97.9,0.0,99.7,3543
barro alto,GO,1,97.9,0.0,99.7,3543
sao jose do ribeirao,RJ,1,97.9,0.0,99.7,3543
sitio do quinto,BA,2,97.89,0.0,99.7,3546
eugenio de castro,RS,1,97.0,0.0,99.7,3547
santo antonio do leverger,MT,1,97.0,0.0,99.7,3547
ananas,TO,1,96.8,0.0,99.7,3549
ingai,MG,1,96.0,0.0,99.7,3550
sao bras do suacui,MG,2,95.99000000000001,0.0,99.7,3551
benedito leite,MA,1,95.9,0.0,99.7,3552
aguas claras,RS,1,95.8,0.0,99.7,3553
planaltina de goias,GO,2,95.6,0.0,99.71,3554
ferreiros,PE,1,95.0,0.0,99.71,3555
ipiranga do norte,MT,1,95.0,0.0,99.71,3555
meruoca,CE,2,95.0,0.0,99.71,3555
sao benedito do rio preto,MA,1,95.0,0.0,99.71,3555
goiandira,GO,1,94.9,0.0,99.71,3559
gaviao peixoto,SP,2,94.89,0.0,99.71,3560
patrocinio do muriae,MG,2,94.8,0.0,99.71,3561
caracol,MS,1,94.0,0.0,99.71,3562
portelandia,GO,2,93.99000000000001,0.0,99.71,3563
boa vista do gurupi,MA,2,93.89,0.0,99.71,3564
entre rios do oeste,PR,3,93.89,0.0,99.71,3564
sao carlos do ivai,PR,1,93.0,0.0,99.71,3566
coronel macedo,SP,2,92.9,0.0,99.71,3567
vila pereira,MG,1,92.8,0.0,99.72,3568
aratiba,RS,1,92.5,0.0,99.72,3569
epitaciolandia,AC,1,92.34,0.0,99.72,3570
barro alto,BA,2,91.99,0.0,99.72,3571
monte castelo,SP,1,91.5,0.0,99.72,3572
planalto,BA,1,91.0,0.0,99.72,3573
quevedos,RS,2,90.9,0.0,99.72,3574
manaira,PB,1,90.0,0.0,99.72,3575
novo itacolomi,PR,1,90.0,0.0,99.72,3575
senador la rocque,MA,1,90.0,0.0,99.72,3575
brejo dos santos,PB,1,89.99,0.0,99.73,3578
britania,GO,1,89.99,0.0,99.73,3578
cajapio,MA,1,89.99,0.0,99.73,3578
conquista d'oeste,MT,1,89.99,0.0,99.73,3578
marilena,PR,1,89.99,0.0,99.73,3578
palmopolis,MG,1,89.99,0.0,99.73,3578
paranapoema,PR,1,89.99,0.0,99.73,3578
peixe,TO,1,89.99,0.0,99.73,3578
pontes gestal,SP,1,89.99,0.0,99.73,3578
tapinas,SP,1,89.99,0.0,99.73,3578
vitorinos,MG,1,89.99,0.0,99.73,3578
atilio vivacqua,ES,1,89.9,0.0,99.75,3589
bandeirantes,MS,1,89.9,0.0,99.75,3589
bom sucesso,PR,1,89.9,0.0,99.75,3589
bonfim,RR,1,89.9,0.0,99.75,3589
braunas,MG,1,89.9,0.0,99.75,3589
coite do noia,AL,1,89.9,0.0,99.75,3589
contenda,PR,1,89.9,0.0,99.75,3589
coronel joao pessoa,RN,1,89.9,0.0,99.75,3589
coronel sapucaia,MS,1,89.9,0.0,99.75,3589
cujubim,RO,1,89.9,0.0,99.75,3589
estrela do sul,MG,1,89.9,0.0,99.75,3589
guapirama,PR,1,89.9,0.0,99.75,3589
ilicinea,MG,1,89.9,0.0,99.75,3589
itabi,SE,1,89.9,0.0,99.75,3589
jaupaci,GO,1,89.9,0.0,99.75,3589
lamim,MG,1,89.9,0.0,99.75,3589
machados,PE,1,89.9,0.0,99.75,3589
pedras altas,RS,1,89.9,0.0,99.75,3589
penedo,RJ,1,89.9,0.0,99.75,3589
rancho alegre,PR,1,89.9,0.0,99.75,3589
redencao da serra,SP,1,89.9,0.0,99.75,3589
retirolandia,BA,1,89.9,0.0,99.75,3589
riversul,SP,1,89.9,0.0,99.75,3589
santa leopoldina,ES,1,89.9,0.0,99.75,3589
santa rita,MA,1,89.9,0.0,99.75,3589
sao jorge d'oeste,PR,1,89.9,0.0,99.75,3589
sao jorge do patrocinio,PR,2,89.9,0.0,99.75,3589
vargem grande do soturno,ES,1,89.9,0.0,99.75,3589
macaubal,SP,1,89.8,0.0,99.75,3617
mogi-mirim,SP,2,89.8,0.0,99.75,3617
capela nova,MG,1,89.77,0.0,99.75,3619
fonseca,MG,1,89.65,0.0,99.75,3620
atalaia,AL,1,89.58,0.0,99.75,3621
aguas mornas,SC,1,89.15,0.0,99.75,3622
aquidaba,SE,1,89.0,0.0,99.76,3623
arapua,MG,1,89.0,0.0,99.76,3623
coronel domingos soares,PR,1,89.0,0.0,99.76,3623
general camara,RS,1,89.0,0.0,99.76,3623
lucena,PB,1,89.0,0.0,99.76,3623
sao francisco,PB,1,89.0,0.0,99.76,3623
taparuba,MG,1,89.0,0.0,99.76,3623
vanini,RS,1,89.0,0.0,99.76,3623
antonio pereira,MG,2,88.99000000000001,0.0,99.76,3631
alto alegre do maranhao,MA,1,88.9,0.0,99.76,3632
sao pedro do turvo,SP,2,88.9,0.0,99.76,3632
guara,DF,2,88.78999999999999,0.0,99.76,3634
goiana,MG,3,88.7,0.0,99.76,3635
xexeu,PE,1,87.5,0.0,99.76,3636
carmopolis,SE,2,87.31,0.0,99.76,3637
uniao de minas,MG,3,87.09,0.0,99.76,3638
coqueiro baixo,RS,2,86.99,0.0,99.76,3639
pato bragado,PR,2,86.69999999999999,0.0,99.76,3640
sao mamede,PB,1,86.0,0.0,99.77,3641
varzea nova,BA,1,86.0,0.0,99.77,3641
moncao,MA,1,85.99,0.0,99.77,3643
vitoria do jari,AP,1,85.95,0.0,99.77,3644
novo brasil,ES,1,85.9,0.0,99.77,3645
bom jesus da penha,MG,2,85.89,0.0,99.77,3646
vila nova,PR,2,85.47,0.0,99.77,3647
piquerobi,SP,1,85.0,0.0,99.77,3648
cotegipe,BA,1,84.99,0.0,99.78,3649
entre folhas,MG,1,84.99,0.0,99.78,3649
janduis,RN,1,84.99,0.0,99.78,3649
lagoa do piaui,PI,1,84.99,0.0,99.78,3649
major porto,MG,1,84.99,0.0,99.78,3649
montadas,PB,1,84.99,0.0,99.78,3649
nova esperanca do sudoeste,PR,1,84.99,0.0,99.78,3649
santo antonio das queimadas,PE,1,84.99,0.0,99.78,3649
vila nova do sul,RS,1,84.99,0.0,99.78,3649
perola independente,PR,1,84.9,0.0,99.78,3658
santa brigida,BA,1,84.9,0.0,99.78,3658
serra branca,PB,1,84.9,0.0,99.78,3658
itaguaru,GO,2,84.89,0.0,99.78,3661
esperantina,TO,1,84.44,0.0,99.78,3662
guarda-mor,MG,2,83.9,0.0,99.78,3663
rio branco,MT,3,83.89,0.0,99.78,3664
senador salgado filho,RS,1,83.8,0.0,99.78,3665
turvania,GO,2,83.7,0.0,99.78,3666
ouro verde de goias,GO,1,82.9,0.0,99.78,3667
itaguacu,GO,2,82.89,0.0,99.78,3668
tres forquilhas,RS,1,82.8,0.0,99.78,3669
jussara,GO,3,82.78999999999999,0.0,99.78,3670
riachinho,MG,2,82.34,0.0,99.78,3671
santa salete,SP,1,81.99,0.0,99.78,3672
candido rodrigues,SP,4,81.79,0.0,99.79,3673
sinimbu,RS,2,81.78,0.0,99.79,3674
assare,CE,1,81.0,0.0,99.79,3675
barrolandia,TO,2,80.99,0.0,99.79,3676
piata,BA,2,80.97999999999999,0.0,99.79,3677
bias fortes,MG,2,80.9,0.0,99.79,3678
ouro verde de minas,MG,2,80.78999999999999,0.0,99.79,3679
sao joao do paraiso,MA,1,80.04,0.0,99.79,3680
assuncao,PB,1,80.0,0.0,99.79,3681
monte alegre de sergipe,SE,1,80.0,0.0,99.79,3681
perobal,PR,1,80.0,0.0,99.79,3681
barao do triunfo,RS,1,79.99,0.0,99.8,3684
cha de alegria,PE,1,79.99,0.0,99.8,3684
coronel freitas,SC,1,79.99,0.0,99.8,3684
ewbank da camara,MG,1,79.99,0.0,99.8,3684
frutuoso gomes,RN,1,79.99,0.0,99.8,3684
iaras,SP,1,79.99,0.0,99.8,3684
nossa senhora de lourdes,SE,1,79.99,0.0,99.8,3684
materlandia,MG,2,79.98,0.0,99.8,3691
monte belo do sul,RS,1,79.98,0.0,99.8,3691
andarai,BA,1,79.9,0.0,99.81,3693
campo azul,MG,1,79.9,0.0,99.81,3693
dezesseis de novembro,RS,1,79.9,0.0,99.81,3693
filadelfia,BA,1,79.9,0.0,99.81,3693
novo lino,AL,1,79.9,0.0,99.81,3693
olaria,MG,1,79.9,0.0,99.81,3693
paraiso,SC,1,79.9,0.0,99.81,3693
paraju,ES,1,79.9,0.0,99.81,3693
ponto belo,ES,1,79.9,0.0,99.81,3693
querencia do norte,PR,1,79.9,0.0,99.81,3693
rio dos indios,RS,1,79.9,0.0,99.81,3693
santa luzia do parua,MA,1,79.9,0.0,99.81,3693
ubirajara,SP,1,79.9,0.0,99.81,3693
vargem grande,MA,1,79.9,0.0,99.81,3693
santana da boa vista,RS,2,79.89,0.0,99.81,3707
elisio medrado,BA,2,79.82,0.0,99.81,3708
banabuiu,CE,1,79.0,0.0,99.81,3709
divinopolis de goias,GO,1,79.0,0.0,99.81,3709
ipiranga,RS,1,79.0,0.0,99.81,3709
nantes,SP,1,79.0,0.0,99.81,3709
praia norte,TO,1,79.0,0.0,99.81,3709
rincao,SP,1,79.0,0.0,99.81,3709
santa rita da floresta,RJ,1,79.0,0.0,99.81,3709
sao joaquim do monte,PE,1,79.0,0.0,99.81,3709
teresina de goias,GO,1,79.0,0.0,99.81,3709
sao francisco de paula,MG,2,78.89,0.0,99.81,3718
vargem,SP,2,78.8,0.0,99.81,3719
aracoiaba,PE,2,78.67,0.0,99.81,3720
almas,TO,1,78.0,0.0,99.82,3721
aurora do para,PA,1,78.0,0.0,99.82,3721
inhuma,PI,1,78.0,0.0,99.82,3721
monte castelo,SC,1,78.0,0.0,99.82,3721
santo antonio do aventureiro,MG,1,77.99,0.0,99.82,3725
sao jose do inhacora,RS,1,77.99,0.0,99.82,3725
figueiropolis d'oeste,MT,2,77.98,0.0,99.82,3727
cristinapolis,SE,1,77.9,0.0,99.82,3728
sapucaia,MG,1,77.9,0.0,99.82,3728
paripiranga,BA,2,77.71000000000001,0.0,99.82,3730
alagoa,MG,1,77.68,0.0,99.82,3731
juvenilia,MG,2,77.47999999999999,0.0,99.82,3732
suzanapolis,SP,1,76.9,0.0,99.82,3733
augusto pestana,RS,2,76.88,0.0,99.82,3734
antonina do norte,CE,1,76.8,0.0,99.82,3735
bras pires,MG,2,76.8,0.0,99.82,3735
campo do brito,SE,1,76.8,0.0,99.82,3735
deodapolis,MS,2,76.8,0.0,99.82,3735
brasilandia de minas,MG,1,76.25,0.0,99.82,3739
aracatu,BA,1,75.99,0.0,99.83,3740
ibateguara,AL,2,75.9,0.0,99.83,3741
pirapo,PR,1,75.27,0.0,99.83,3742
felixlandia,MG,1,75.0,0.0,99.83,3743
guatapara,SP,1,75.0,0.0,99.83,3743
jaraguari,MS,2,75.0,0.0,99.83,3743
jerico,PB,1,75.0,0.0,99.83,3743
nova guataporanga,SP,1,75.0,0.0,99.83,3743
dom cavati,MG,1,74.99,0.0,99.83,3748
vargem alegre,MG,1,74.99,0.0,99.83,3748
cassia dos coqueiros,SP,1,74.9,0.0,99.83,3750
frei gaspar,MG,1,74.9,0.0,99.83,3750
lagoa dos tres cantos,RS,1,74.9,0.0,99.83,3750
nacip raydan,MG,1,74.9,0.0,99.83,3750
novo horizonte,SC,1,74.9,0.0,99.83,3750
pedro ii,PI,1,74.9,0.0,99.83,3750
porto acre,AC,1,74.9,0.0,99.83,3750
espigao,SP,2,74.89,0.0,99.84,3757
adustina,BA,1,74.8,0.0,99.84,3758
alto alegre do iguacu,PR,2,74.69999999999999,0.0,99.84,3759
adrianopolis,PR,1,73.9,0.0,99.84,3760
santo antonio do palma,RS,2,73.89,0.0,99.84,3761
joselandia,MA,1,73.35,0.0,99.84,3762
monte formoso,MG,2,72.99,0.0,99.84,3763
pedra do indaia,MG,1,72.99,0.0,99.84,3763
cacaulandia,RO,1,72.9,0.0,99.84,3765
itarema,CE,1,72.9,0.0,99.84,3765
mato rico,PR,1,72.9,0.0,99.84,3765
avelino lopes,PI,2,72.89,0.0,99.84,3768
arraial d ajuda,BA,1,72.62,0.0,99.84,3769
serra azul,SP,1,72.5,0.0,99.84,3770
salobro,BA,1,72.2,0.0,99.84,3771
matoes,MA,1,72.0,0.0,99.84,3772
piripa,BA,2,71.99000000000001,0.0,99.84,3773
termas de ibira,SP,1,71.9,0.0,99.84,3774
bom retiro,SC,1,70.0,0.0,99.85,3775
taquarucu do sul,RS,1,70.0,0.0,99.85,3775
anaurilandia,MS,1,69.99,0.0,99.85,3777
cipo-guacu,SP,1,69.99,0.0,99.85,3777
itanhanga,MT,1,69.99,0.0,99.85,3777
juripiranga,PB,1,69.99,0.0,99.85,3777
planalto,SP,1,69.99,0.0,99.85,3777
ravena,MG,1,69.99,0.0,99.85,3777
boquira,BA,1,69.9,0.0,99.86,3783
florida,PR,1,69.9,0.0,99.86,3783
formosa do oeste,PR,1,69.9,0.0,99.86,3783
glaura,MG,1,69.9,0.0,99.86,3783
itutinga,MG,1,69.9,0.0,99.86,3783
laranja da terra,ES,1,69.9,0.0,99.86,3783
macuco,RJ,1,69.9,0.0,99.86,3783
ministro andreazza,RO,1,69.9,0.0,99.86,3783
moeda,MG,1,69.9,0.0,99.86,3783
morro do pilar,MG,1,69.9,0.0,99.86,3783
nova padua,RS,1,69.9,0.0,99.86,3783
piratini,RS,1,69.9,0.0,99.86,3783
sao francisco do gloria,MG,1,69.9,0.0,99.86,3783
vila reis,PR,1,69.9,0.0,99.86,3783
onda verde,SP,1,69.81,0.0,99.86,3797
anhandui,MS,1,69.0,0.0,99.86,3798
cascalho rico,MG,1,69.0,0.0,99.86,3798
igarape-acu,PA,1,69.0,0.0,99.86,3798
lagoa de sao francisco,PI,1,68.99,0.0,99.86,3801
guarani das missoes,RS,2,68.66,0.0,99.86,3802
ilha dos valadares,PR,1,67.99,0.0,99.86,3803
valao do barro,RJ,1,67.1,0.0,99.86,3804
conselheiro mairinck,PR,1,67.0,0.0,99.86,3805
buritizal,SP,2,66.99,0.0,99.86,3806
rio doce,MG,1,66.0,0.0,99.86,3807
angicos,RN,1,65.99,0.0,99.86,3808
bertopolis,MG,1,65.9,0.0,99.86,3809
santo inacio,PR,1,65.9,0.0,99.86,3809
capitao eneas,MG,1,65.6,0.0,99.86,3811
goncalves dias,MA,1,65.0,0.0,99.87,3812
ribeiropolis,SE,1,65.0,0.0,99.87,3812
serra dos dourados,PR,1,65.0,0.0,99.87,3812
paranapua,SP,2,64.99000000000001,0.0,99.87,3815
alianca,PE,1,64.99,0.0,99.87,3816
teodoro sampaio,BA,1,64.9,0.0,99.87,3817
itaquitinga,PE,2,64.89,0.0,99.87,3818
matriz de camaragibe,AL,1,64.0,0.0,99.87,3819
sao jorge,RS,1,63.99,0.0,99.87,3820
passa tres,RJ,2,63.85,0.0,99.87,3821
agua branca,AL,1,63.8,0.0,99.87,3822
anage,BA,1,63.8,0.0,99.87,3822
guairaca,PR,1,63.8,0.0,99.87,3822
cristopolis,BA,2,63.41,0.0,99.87,3825
garruchos,RS,1,62.9,0.0,99.87,3826
terenos,MS,1,62.89,0.0,99.87,3827
pedro velho,RN,1,61.99,0.0,99.87,3828
tapera,RS,1,61.8,0.0,99.87,3829
ibipeba,BA,1,61.7,0.0,99.87,3830
muquem do sao francisco,BA,2,61.32,0.0,99.87,3831
pontalinda,SP,2,60.8,0.0,99.87,3832
taiacu,SP,1,60.5,0.0,99.87,3833
guarapua,SP,1,60.0,0.0,99.88,3834
pavao,MG,1,60.0,0.0,99.88,3834
camacho,MG,1,59.99,0.0,99.88,3836
jandaira,BA,1,59.99,0.0,99.88,3836
morada nova,PA,1,59.99,0.0,99.88,3836
novo machado,RS,1,59.99,0.0,99.88,3836
brasilandia,MS,1,59.9,0.0,99.89,3840
buriti do tocantins,TO,1,59.9,0.0,99.89,3840
cerrito,RS,1,59.9,0.0,99.89,3840
fatima,TO,1,59.9,0.0,99.89,3840
lagoa dos patos,MG,1,59.9,0.0,99.89,3840
mesquita,MG,1,59.9,0.0,99.89,3840
messias targino,RN,1,59.9,0.0,99.89,3840
mocajuba,PA,1,59.9,0.0,99.89,3840
oleo,SP,1,59.9,0.0,99.89,3840
padre paraiso,MG,1,59.9,0.0,99.89,3840
palmares paulista,SP,1,59.9,0.0,99.89,3840
pedranopolis,SP,1,59.9,0.0,99.89,3840
pinhotiba,MG,1,59.9,0.0,99.89,3840
praia grande,ES,1,59.9,0.0,99.89,3840
rainha do mar,RS,1,59.9,0.0,99.89,3840
santa rita do itueto,MG,1,59.9,0.0,99.89,3840
sao domingos,MG,1,59.9,0.0,99.89,3840
sao domingos das dores,MG,1,59.9,0.0,99.89,3840
sao miguel do cambui,PR,1,59.9,0.0,99.89,3840
sarutaia,SP,1,59.9,0.0,99.89,3840
porto lucena,RS,1,59.89,0.0,99.89,3860
sao mateus de minas,MG,1,59.88,0.0,99.89,3861
salmourao,SP,2,59.879999999999995,0.0,99.89,3862
campo florido,MG,1,59.8,0.0,99.89,3863
brasileia,AC,1,59.699999999999996,0.0,99.89,3864
jacuizinho,RS,1,59.54,0.0,99.89,3865
galvao,SC,1,59.5,0.0,99.89,3866
novo mundo,MT,1,59.15,0.0,99.89,3867
jamaica,SP,1,59.0,0.0,99.89,3868
lages,CE,1,59.0,0.0,99.89,3868
lamarao,BA,1,59.0,0.0,99.89,3868
queixada,MG,1,59.0,0.0,99.89,3868
rio rufino,SC,1,59.0,0.0,99.89,3868
anhumas,SP,1,58.99,0.0,99.9,3873
cairu,BA,1,58.99,0.0,99.9,3873
croata,CE,1,58.99,0.0,99.9,3873
hidrolandia,GO,1,58.99,0.0,99.9,3873
nova america da colina,PR,1,58.99,0.0,99.9,3873
paineiras,MG,1,58.99,0.0,99.9,3873
pilar,PB,1,58.99,0.0,99.9,3873
uruburetama,CE,1,58.99,0.0,99.9,3873
palmeirinha,PR,2,58.919999999999995,0.0,99.9,3881
castro alves,BA,2,58.9,0.0,99.9,3882
porto amazonas,PR,2,58.79,0.0,99.9,3883
matelandia,PR,2,57.980000000000004,0.0,99.9,3884
itacoatiara,AM,1,57.98,0.0,99.9,3885
sonora,MS,2,57.98,0.0,99.9,3885
bacaxa,RJ,1,57.9,0.0,99.9,3887
barra do jacare,PR,1,57.9,0.0,99.9,3887
caem,BA,1,57.9,0.0,99.9,3887
rubelita,MG,1,57.89,0.0,99.9,3890
alto paraiso,PR,1,56.99,0.0,99.9,3891
condeuba,BA,1,56.99,0.0,99.9,3891
itaara,RS,1,56.99,0.0,99.9,3891
santa cecilia do pavao,PR,1,56.99,0.0,99.9,3891
varzea do poco,BA,1,56.99,0.0,99.9,3891
iacri,SP,2,56.98,0.0,99.9,3896
inaja,PR,2,56.9,0.0,99.9,3897
sao joao do sobrado,ES,1,55.92,0.0,99.9,3898
arapoema,TO,1,55.9,0.0,99.91,3899
berilo,MG,1,55.9,0.0,99.91,3899
campo do tenente,PR,1,55.9,0.0,99.91,3899
dom macedo costa,BA,1,55.9,0.0,99.91,3899
itamira,BA,2,55.9,0.0,99.91,3899
jaguaracu,MG,1,55.9,0.0,99.91,3899
itaoca,SP,1,55.8,0.0,99.91,3905
taperuaba,CE,1,55.49,0.0,99.91,3906
balbinos,SP,1,55.32,0.0,99.91,3907
novo cabrais,RS,1,55.0,0.0,99.91,3908
porto murtinho,MS,1,55.0,0.0,99.91,3908
salinas da margarida,BA,1,55.0,0.0,99.91,3908
tocos do moji,MG,1,55.0,0.0,99.91,3908
alto sao joao,PR,1,54.99,0.0,99.91,3912
amargosa,BA,1,54.99,0.0,99.91,3912
canaa,MG,1,54.99,0.0,99.91,3912
pereiras,SP,1,54.99,0.0,99.91,3912
itapiuna,CE,2,54.980000000000004,0.0,99.91,3916
carnaiba do sertao,BA,1,54.98,0.0,99.91,3917
guaraciaba,SC,1,54.9,0.0,99.91,3918
pouso novo,RS,1,54.9,0.0,99.91,3918
prata,PB,1,54.9,0.0,99.91,3918
santo andre,PB,1,54.9,0.0,99.91,3918
sete de setembro,RS,1,54.9,0.0,99.91,3918
nossa senhora das gracas,PR,2,54.8,0.0,99.91,3923
monsenhor paulo,MG,1,53.99,0.0,99.91,3924
sento se,BA,1,53.99,0.0,99.91,3924
angelica,MS,1,53.9,0.0,99.92,3926
cajuri,MG,1,53.9,0.0,99.92,3926
santana do itarare,PR,1,53.9,0.0,99.92,3926
brazabrantes,GO,2,53.5,0.0,99.92,3929
presidente nereu,SC,1,52.99,0.0,99.92,3930
cerro grande,RS,1,52.9,0.0,99.92,3931
gramado xavier,RS,1,52.9,0.0,99.92,3931
nova boa vista,RS,1,52.9,0.0,99.92,3931
ibirataia,BA,2,52.8,0.0,99.92,3934
sao thome das letras,MG,2,52.8,0.0,99.92,3934
sao benedito,MG,1,52.64,0.0,99.92,3936
piacatu,SP,1,51.19,0.0,99.92,3937
nova america,GO,1,51.0,0.0,99.92,3938
pacotuba,ES,1,50.9,0.0,99.92,3939
vicosa,RN,1,50.9,0.0,99.92,3939
padre gonzales,RS,1,50.0,0.0,99.92,3941
pedra lavrada,PB,1,50.0,0.0,99.92,3941
bandeirantes d'oeste,SP,1,49.99,0.0,99.92,3943
cocos,BA,1,49.99,0.0,99.92,3943
mossamedes,GO,1,49.99,0.0,99.92,3943
nova roma,GO,1,49.99,0.0,99.92,3943
pratapolis,MG,1,49.99,0.0,99.92,3943
serra do salitre,MG,1,49.99,0.0,99.92,3943
amparo da serra,MG,1,49.95,0.0,99.92,3949
agrolandia,SC,1,49.9,0.0,99.93,3950
almirante tamandare do sul,RS,1,49.9,0.0,99.93,3950
calmon,SC,1,49.9,0.0,99.93,3950
caparao,MG,1,49.9,0.0,99.93,3950
ceilandia,DF,1,49.9,0.0,99.93,3950
chorrocho,BA,1,49.9,0.0,99.93,3950
guaraquecaba,PR,1,49.9,0.0,99.93,3950
juruti,PA,1,49.9,0.0,99.93,3950
maribondo,AL,1,49.9,0.0,99.93,3950
miradouro,MG,1,49.9,0.0,99.93,3950
murici,AL,1,49.9,0.0,99.93,3950
palmeira d oeste,SP,1,49.9,0.0,99.93,3950
patis,MG,1,49.9,0.0,99.93,3950
pedra preta,RN,1,49.9,0.0,99.93,3950
pureza,RJ,1,49.9,0.0,99.93,3950
quilometro 14 do mutum,ES,1,49.9,0.0,99.93,3950
rio dos cedros,SC,1,49.9,0.0,99.93,3950
santa margarida,PR,1,49.9,0.0,99.93,3950
santa quiteria do maranhao,MA,1,49.9,0.0,99.93,3950
santa terezinha,SC,1,49.9,0.0,99.93,3950
santana de pirapama,MG,1,49.9,0.0,99.93,3950
selbach,RS,1,49.9,0.0,99.93,3950
bocaiuva do sul,PR,2,49.89,0.0,99.93,3972
corumbatai,SP,2,49.59,0.0,99.93,3973
doce grande,PR,1,49.49,0.0,99.93,3974
jacutinga,RS,1,49.39,0.0,99.93,3975
sao jose do xingu,MT,1,49.3,0.0,99.93,3976
araguaia,ES,1,49.0,0.0,99.94,3977
bela vista do maranhao,MA,1,49.0,0.0,99.94,3977
elisiario,SP,1,49.0,0.0,99.94,3977
foz do jordao,PR,1,49.0,0.0,99.94,3977
iomere,SC,1,49.0,0.0,99.94,3977
jacareacanga,PA,1,49.0,0.0,99.94,3977
mansidao,BA,1,49.0,0.0,99.94,3977
tamandare,PE,1,49.0,0.0,99.94,3977
tuiuti,SP,1,49.0,0.0,99.94,3977
vitorino,PR,1,49.0,0.0,99.94,3977
bodo,RN,1,48.9,0.0,99.94,3987
pau d'arco,PA,1,48.9,0.0,99.94,3987
santa lucia,PR,1,48.9,0.0,99.94,3987
itaguara,MG,2,48.89,0.0,99.94,3990
indiaroba,SE,1,48.0,0.0,99.94,3991
machadinho,RS,1,48.0,0.0,99.94,3991
ribas do rio pardo,MS,1,47.9,0.0,99.94,3993
populina,SP,1,47.6,0.0,99.94,3994
tiradentes do sul,RS,1,46.86,0.0,99.94,3995
amontada,CE,1,45.9,0.0,99.94,3996
crominia,GO,1,45.9,0.0,99.94,3996
humberto de campos,MA,1,45.9,0.0,99.94,3996
gloria de dourados,MS,1,45.8,0.0,99.94,3999
antonio martins,RN,1,45.0,0.0,99.94,4000
dias d avila,BA,1,45.0,0.0,99.94,4000
ibiajara,BA,1,45.0,0.0,99.94,4000
queiroz,SP,1,45.0,0.0,99.94,4000
ribeira do amparo,BA,1,45.0,0.0,99.94,4000
sao sebastiao da amoreira,PR,1,45.0,0.0,99.94,4000
fenix,PR,1,44.99,0.0,99.95,4006
pedra branca,PB,1,44.99,0.0,99.95,4006
tabuleiro do norte,CE,1,44.99,0.0,99.95,4006
apora,BA,1,44.9,0.0,99.95,4009
pontao,RS,1,44.9,0.0,99.95,4009
baixa grande,BA,1,44.0,0.0,99.95,4011
ubai,MG,1,43.5,0.0,99.95,4012
agisse,SP,1,43.0,0.0,99.95,4013
candoi,PR,1,43.0,0.0,99.95,4013
cedro do abaete,MG,1,42.99,0.0,99.95,4015
guaratinga,BA,2,42.99,0.0,99.95,4015
traipu,AL,1,42.99,0.0,99.95,4015
castanheiras,RO,1,42.9,0.0,99.95,4018
agua nova,RN,1,42.0,0.0,99.95,4019
aribice,BA,1,42.0,0.0,99.95,4019
nobres,MT,1,41.99,0.0,99.95,4021
passo de camaragibe,AL,1,41.98,0.0,99.95,4022
florinia,SP,1,41.5,0.0,99.95,4023
ponto dos volantes,MG,2,41.4,0.0,99.95,4024
mampituba,RS,1,40.95,0.0,99.95,4025
juranda,PR,2,40.9,0.0,99.95,4026
maranhaozinho,MA,1,40.9,0.0,99.95,4026
capela do alto alegre,BA,1,39.99,0.0,99.95,4028
conceicao da ibitipoca,MG,1,39.99,0.0,99.95,4028
igapora,BA,1,39.99,0.0,99.95,4028
ponte alta do norte,SC,1,39.99,0.0,99.95,4028
sao benedito do sul,PE,1,39.99,0.0,99.95,4028
siriji,PE,1,39.99,0.0,99.95,4028
terezinha,PE,1,39.99,0.0,99.95,4028
